Product Name	Description	Output Power	Voltages	Frame Size	Standards	Category
High Low Voltage AC DC Motors	 The range of High and Low voltage AC &amp; DC motors include safe and hazardous area motors, energy efficient motors as well as motors for special ap					Low Voltage Motors
DC Motors	 CG is an established name synonymous with rotating machines. Our manufacturing unit located at Ahmednagar (Maharashra), India, manufactures DC motors															Low Voltage Motors
Large DC Machines	 CG is fully equipped to manufacture state-of-the-art LAMINATED YOKE DC Motors up to 2000 kW (50000 Nm torque) in frame size up to 710 in order to cov									Low Voltage Motors
International Efficiency IE2 IE3 Apex series	 The increasing costs of energy calls for saving the same in all steps of manufacture. Electric Motor Driven systems used in the industrial processes 							Low Voltage Motors
Super Premium IE4 Efficiency Apex Series	 Out of our commitment towards high energy efficiency and top notch performance, CG presents the next and latest generation of a green solution, Apex 							Low Voltage Motors
Totally Enclosed Fan Cooled Induction Motor NG Series	 CG manufactures NG-Series Motors, which are the state - of - the art, energy efficient and Totally Enclosed Fan Cooled (TEFC) Squirrel Cage motors. T					Low Voltage Motors
Air Cooled Induction Motors IC 6A1A1 IC 6A1A6 IC 6A6A6 CACA	 CG offers CACA Motors, which include TP and FT Series High Voltage Induction Motors.									High Voltage Motors
Double Cage Motor for Cement Mill	 For the raw and cement ball-mill twin drives Slip Ring or other wound type rotor motors are used all over the world.															High Voltage Motors
Energy Efficient Motors HV N Series	 N-Series motors are the trademarked series of CG Industrial System. The motors are offered in air cooled and water cooled construction. These motors 									High Voltage Motors
Fan Cooled Induction Motor IC 4A1A1 IC 4A1A6 TEFC	 CG manufactures NG-Series Motors, which belong to a family of state of the art, energy efficient and Totally Enclosed Fan Cooled (TEFC) Squirrel Cage					High Voltage Motors
Open Air Type Induction Motor IC 0A1 IC 0A6 SPDP	 CG offers SPDP Motors which include UD and FH Series High Voltage Induction Motors.												High Voltage Motors
Tube Ventilated Induction Motor IC 5A1A1 IC 5A1A6 TETV	 CG manufactures Totally Enclosed Tube Ventilated (TETV) Motors in Squirrel Cage (SCR) and Slip Ring (SR) designs that provide excellent performance i									High Voltage Motors
Water Cooled Induction Motors IC 8A1W7 CACW	 CG offers CACW Motors which include UW and FR Series High Voltage Induction Motors.									High Voltage Motors
Aluminium enclosure motors Safe area	 GD Series aluminum motor range covers product with output as little as 0.18kw to 11kw in frame sizes IEC63 to 160, GD series have Multi mount facilit							Low Voltage Motors
Aluminum enclosure motors	 G NEMA aluminium motor range covers product with output 0.50 Hp to 20Hp in frame sizes NEMA 56 to 256, by changing the standard end shield you can ch							Low Voltage Motors
AXELERA Process Performance Motors	 Introducing AXELERA Process Performance Motors, an Indigenous breakthrough innovation engineered to address the rigorous demands of modern-day indust					Low Voltage Motors
Cast Iron enclosure motors	 CG is making these specific motors for North American Markets. These motors comply with NEMA standards such as NEMA MG 1 CSA C 22.2 No. 100 and UL 10							Low Voltage Motors
Cast Iron enclosure motors Safe Area	 CG LV cast iron motor range covers products with outputs from 0.37 kW to 710 kW in frame sizes 63 to 500. They are suitable for use within a diverse 					Low Voltage Motors
Flame Proof Motors Ex db LV	 CG offers wide range of low voltage Flameproof squirrel cage &amp; Slip ring electric motors for operation in hazardous and hostile environments, ran							Low Voltage Motors
Increased Safety Motors Ex eb LV	 CG manufactures state-of-the-art INCREASED SAFETY MOTORS (Ex&rsquo;eb&rsquo;). These motors meet the stringent quality and performance norms laid dow							Low Voltage Motors
Non Sparking Motor Ex nA Ex ec LV	 CG manufactures state of the art NON-SPARKING Motors Ex `nA`/ &lsquo;ec&rsquo;. These motors meet the stringent quality and performance norms laid do										Low Voltage Motors
Slip Ring Motors LV	 CG has Low Voltage Slip Ring electric motors ranging from 3.7 kW to 350 kW in both TEFC (IP55) &amp; Drip Proof (IP23) construction. These motors are							Low Voltage Motors
SMARTORCG Smart Motors	 Motors play a critical role in functioning of a manufacturing plant. These motors need to be serviced, maintained and analysed to avoid untimely brea					Low Voltage Motors
Flame Proof Motors Ex d LV	 CG offers wide range of low voltage Flameproof Squirrel Cage &amp; Slip Ring electric motors for operation in hazardous and hostile environments, ran							Low Voltage Motors
Increased Safety Motors Ex e LV	 CG manufactures state - of - the - art INCREASED SAFETY MOTORS. These motors meet the stringent quality and performance norms laid down by both India							Low Voltage Motors
Non Sparking Motor Ex n LV	 CG manufactures state of the art NON-SPARKING Motors Ex `n`. These motors meet the stringent quality and performance norms laid down by both Indian a							Low Voltage Motors
Flame Proof Large Motors Ex d HV	 One of the special areas of focus for CG has been motors for hazardous area applications. The scenario of operation of these motors and the regulator											Low Voltage Motors
Increased Safety Motors Ex e HV	 CG manufactures state-of-the-art INCREASED SAFETY MOTORS. These motors meet the stringent quality and performance norms laid down by both Indian and 					Low Voltage Motors
Non Sparking Motor Ex n HV	 CG manufactures state of the art NON-SPARKING Motors Ex `n`. These motors meet the stringent quality and performance norms laid down by both Indian a									Low Voltage Motors
Pressurized Motor Ex p HV	 Ex &lsquo;p&rsquo; motor is an economical solution for Large rating Flameproof motors (FLP motors) which can be used in Zone-1 of Hazardous Area. Wit					Low Voltage Motors
Brake Motors	 CG offers Kibosh Brake Motors, the most reliable range with highly competitive delivery time. Kibosh Brake Motors is designed to serve various brakin					Low Voltage Motors
Double Cage Motor for Cement Mill	 For the raw and cement ball-mill twin drives Slip Ring or other wound type rotor motors are used all over the world.															Low Voltage Motors
Oil Well Pump Motor	 CG has now launched their latest designs for OIL WELL PUMP MOTORS, with new and vital electrical performance characteristics and features.These motor							Low Voltage Motors
Re Rolling Mill Motor	 With versatile experience over the years, CG has developed a highly standardized range of motors dedicated specifically to the Re-rolling mill indust					Low Voltage Motors
