Product Name,Category,Sub-Category,Description
"100W12RA3TP-50","Agricultural Pump","Agricultural Pumps","The 100W12RA3TP-50 is an agricultural submersible pump purpose-built for farm irrigation and borewell water extraction. 100W capacity with single-phase operation for deep water wells and borewells. Energy-efficient design reduces operational costs while maintaining consistent performance. IP55 protection and robust construction handle demanding farm conditions. Ideal for large farms and irrigation projects. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"100W15RA3TP-50","Agricultural Pump","Agricultural Pumps","The 100W15RA3TP-50 is an agricultural submersible pump purpose-built for farm irrigation and borewell water extraction. 100W capacity with single-phase operation for deep water wells and borewells. Energy-efficient design reduces operational costs while maintaining consistent performance. IP55 protection and robust construction handle demanding farm conditions. Ideal for large farms and irrigation projects. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"100W25RA5TP-50","Agricultural Pump","Agricultural Pumps","The 100W25RA5TP-50 is an agricultural submersible pump purpose-built for farm irrigation and borewell water extraction. 100W capacity with single-phase operation for deep water wells and borewells. Energy-efficient design reduces operational costs while maintaining consistent performance. IP55 protection and robust construction handle demanding farm conditions. Ideal for large farms and irrigation projects. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"MAD052(1PH)Y-14","Agricultural Pump","Agricultural Pumps","The MAD052(1PH)Y-14 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MAD052(1PH)Y-21+","Agricultural Pump","Agricultural Pumps","The MAD052(1PH)Y-21+ is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBG1.52","Agricultural Pump","Agricultural Pumps","The MBG1.52 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBM12(1PH)","Agricultural Pump","Agricultural Pumps","The MBM12(1PH) is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBQ22-1PH-14","Agricultural Pump","Agricultural Pumps","The MBQ22-1PH-14 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MIK22-18","Agricultural Pump","Agricultural Pumps","The MIK22-18 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MIK32-27","Agricultural Pump","Agricultural Pumps","The MIK32-27 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MIN32-26","Agricultural Pump","Agricultural Pumps","The MIN32-26 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINH52-30","Agricultural Pump","Agricultural Pumps","The MINH52-30 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MIP52-27","Agricultural Pump","Agricultural Pumps","The MIP52-27 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MIP7.52-30","Agricultural Pump","Agricultural Pumps","The MIP7.52-30 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MAD052(1PH)Y-18+","Agricultural Pump","Centrifugal Monoset","The MAD052(1PH)Y-18+ is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MAD12(1PH)Y-30","Agricultural Pump","Centrifugal Monoset","The MAD12(1PH)Y-30 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBG12(1PH)-21","Agricultural Pump","Centrifugal Monoset","The MBG12(1PH)-21 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBG12(3PHASE)","Agricultural Pump","Centrifugal Monoset","The MBG12(3PHASE) is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBK22(1PH)-24","Agricultural Pump","Centrifugal Monoset","The MBK22(1PH)-24 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MBQ22(1PH)-12U","Agricultural Pump","Centrifugal Monoset","The MBQ22(1PH)-12U is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"3W10AK1A","Residential Pumps","3-Inch Borewell","The 3W10AK1A is a 3-inch submersible pump designed for shallow to medium-depth borewell applications. 1HP/0.75 capacity with single-phase operation ensures reliable water extraction from depths up to 150 feet. Features deep borewell submersible technology with IP55 protection and energy-efficient performance. Ideal for small farms and residential water supply. Trusted Crompton quality. Available at Bombay Engineering Syndicate."
"3W10AP1D","Residential Pumps","3-Inch Borewell","The 3W10AP1D is a 3-inch submersible pump designed for shallow to medium-depth borewell applications. 1HP/0.75 capacity with single-phase operation ensures reliable water extraction from depths up to 150 feet. Features deep borewell submersible technology with IP55 protection and energy-efficient performance. Ideal for small farms and residential water supply. Trusted Crompton quality. Available at Bombay Engineering Syndicate."
"3W12AP1D","Residential Pumps","3-Inch Borewell","The 3W12AP1D is a 3-inch submersible pump designed for shallow to medium-depth borewell applications. 1HP/0.75 capacity with single-phase operation ensures reliable water extraction from depths up to 150 feet. Features deep borewell submersible technology with IP55 protection and energy-efficient performance. Ideal for small farms and residential water supply. Trusted Crompton quality. Available at Bombay Engineering Syndicate."
"4VO1.5/12-BUE(U4S)","Residential Pumps","4-Inch Borewell","The 4VO1.5/12-BUE(U4S) is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4VO1.5/14-BUE(U4S)","Residential Pumps","4-Inch Borewell","The 4VO1.5/14-BUE(U4S) is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4VO1/10-BUE(U4S)","Residential Pumps","4-Inch Borewell","The 4VO1/10-BUE(U4S) is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4VO1/7-BUE(U4S)","Residential Pumps","4-Inch Borewell","The 4VO1/7-BUE(U4S) is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4VO10BU1EU","Residential Pumps","4-Inch Borewell","The 4VO10BU1EU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4VO7BU1EU","Residential Pumps","4-Inch Borewell","The 4VO7BU1EU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W10BU1AU","Residential Pumps","4-Inch Borewell","The 4W10BU1AU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1HP/0.75 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W12BF1.5E","Residential Pumps","4-Inch Borewell","The 4W12BF1.5E is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W14BF1.5E","Residential Pumps","4-Inch Borewell","The 4W14BF1.5E is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W14BU2EU","Residential Pumps","4-Inch Borewell","The 4W14BU2EU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 2HP/1.5 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W7BU1AU","Residential Pumps","4-Inch Borewell","The 4W7BU1AU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1HP/0.75 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"CFMSMB3D0.50-V24","Residential Pumps","Booster Pumps","The CFMSMB3D0.50-V24 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CFMSMB5D1.00-V24","Residential Pumps","Booster Pumps","The CFMSMB5D1.00-V24 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"Mini Force I","Residential Pumps","Booster Pumps","The Mini Force I mini force pump combines efficiency with reliability for modern residential water management. 0.5HP/0.37 capacity with single-phase operation, featuring advanced electrical construction. Delivers consistent pressure for water boosting and domestic applications. Compact design fits residential spaces. Energy-efficient with IP55 protection. Perfect for home water supply systems. Get yours from Bombay Engineering Syndicate – Crompton's authorized distributor."
"MINI FORCE II","Residential Pumps","Booster Pumps","The MINI FORCE II mini force pump combines efficiency with reliability for modern residential water management. 0.5 HP capacity with single-phase operation, featuring advanced electrical construction. Delivers consistent pressure for water boosting and domestic applications. Compact design fits residential spaces. Energy-efficient with IP55 protection. Perfect for home water supply systems. Get yours from Bombay Engineering Syndicate – Crompton's authorized distributor."
"ARMOR1.0-CQU","Residential Pumps","Control Panels","The ARMOR1.0-CQU is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"ARMOR1.5-DSU","Residential Pumps","Control Panels","The ARMOR1.5-DSU is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CMB05NV PLUS","Residential Pumps","DMB-CMB Pumps","The CMB05NV PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CMB10NV PLUS","Residential Pumps","DMB-CMB Pumps","The CMB10NV PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"DMB10D PLUS","Residential Pumps","DMB-CMB Pumps","The DMB10D PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"DMB10DCSL","Residential Pumps","DMB-CMB Pumps","The DMB10DCSL is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
